district,variety_id,available,supplier,availability_note
Bukwo,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Buliisa,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Bundibugyo,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Bushenyi,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Busia,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Butaleja,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Dokolo,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Gulu,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Hoima,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Ibanda,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Iganga,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Isingiro,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Jinja,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kaabong,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kabale,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kabarole,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kaberamaido,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kalangala,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kaliro,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kampala,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kamuli,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kamwenge,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kanungu,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kapchorwa,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kasese,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Katakwi,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kayunga,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kibaale,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kiboga,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kiruhura,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kisoro,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kitgum,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Koboko,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kotido,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kumi,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Kyenjojo,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Lira,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Luwero,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Lyantonde,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Manafwa,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Masaka,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Masindi,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Mayuge,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Mbale,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Mbarara,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Mityana,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Moroto,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Moyo,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Mpigi,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Mubende,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Mukono,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Nakapiripirit,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Nakaseke,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Nakasongola,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Namutumba,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Nebbi,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Ntungamo,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Nyadri,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Oyam,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Pader,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Pallisa,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Rakai,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Rukungiri,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Sembabule,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Sironko,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Soroti,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Tororo,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Wakiso,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Yumbe,NARO/2011/GNT/016,yes,FICA; NASECO,2 licensed seed company(ies) listed nationally
Abim,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Adjumani,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Amolatar,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Amuria,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Amuru,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Apac,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Arua,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
Budaka,NARO/2011/GNT/020,yes,NASECO; Savanna Seeds,2 licensed seed company(ies) listed nationally
